X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
11.29168,47.275,3081065344,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:175387,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,valderiensis,SUBSPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo valderiensis Turati &Verity, 1911","Parnassius apollo (Linnaeus, 1758)","Turati &Verity, 1911",AT,Tyrol,Tyrol,PRESENT,"1",b4640710-8e03-11d8-b956-b8a03c50a862,47.250000000000000,11.333333000000000,"134559",,,,,,##############################################################################################################################################################################################################################################################,"8","9","1884","1","0","0","0","0","1","9580080","1938810",PRESERVED_SPECIMEN,MCZ,Ent,"175387",,[no agent data],,CC_BY_NC_4_0,President and Fellows of Harvard College,Herbert K. Morrison,,,19.01.2023 20:42:52,StillImage,INSTITUTION_MATCH_FUZZY,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87332",8733/2,"100",AT,QU,11.291679999999999,47.274999999999999,"8733","87","33","2",./0.png
11.29168,47.225,3081065344,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:175387,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,valderiensis,SUBSPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo valderiensis Turati &Verity, 1911","Parnassius apollo (Linnaeus, 1758)","Turati &Verity, 1911",AT,Tyrol,Tyrol,PRESENT,"1",b4640710-8e03-11d8-b956-b8a03c50a862,47.250000000000000,11.333333000000000,"134559",,,,,,##############################################################################################################################################################################################################################################################,"8","9","1884","1","0","0","0","0","1","9580080","1938810",PRESERVED_SPECIMEN,MCZ,Ent,"175387",,[no agent data],,CC_BY_NC_4_0,President and Fellows of Harvard College,Herbert K. Morrison,,,19.01.2023 20:42:52,StillImage,INSTITUTION_MATCH_FUZZY,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87334",8733/4,"100",AT,QU,11.291679999999999,47.225000000000001,"8733","87","33","4",./0.png
10.54168,47.125,863600727,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,MCZ:Ent:175211,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,confinis,SUBSPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo confinis Belling, 1923","Parnassius apollo (Linnaeus, 1758)","Belling, 1923",AT,"Landeck, Innsbruck",Tyrol,PRESENT,"1",b4640710-8e03-11d8-b956-b8a03c50a862,47.133333000000000,10.566667000000001,"3036",,,,,,##############################################################################################################################################################################################################################################################,"15","6","1898","1","0","0","0","0","1","6235192","1938810",PRESERVED_SPECIMEN,MCZ,Ent,"175211",,[no agent data],,CC_BY_NC_4_0,President and Fellows of Harvard College,A. Deutsch,,,19.01.2023 20:42:52,StillImage,INSTITUTION_MATCH_FUZZY,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88293",8829/3,"100",AT,QU,10.541679999999999,47.125000000000000,"8829","88","29","3",./0.png
12.54168,47.025,3882942374,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Matrei in Osttirol,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.533334000000000,"500",,,,,,23.07.1900 00:00:00,"23","7","1900","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2831160",,,,CC0_1_0,,,,,13.01.2023 09:21:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89413",8941/3,"100",AT,QU,12.541679999999999,47.024999999999999,"8941","89","41","3",./0.png
12.54168,46.975,3882942374,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Matrei in Osttirol,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.533334000000000,"500",,,,,,23.07.1900 00:00:00,"23","7","1900","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2831160",,,,CC0_1_0,,,,,13.01.2023 09:21:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90411",9041/1,"100",AT,QU,12.541679999999999,46.975000000000001,"9041","90","41","1",./0.png
10.79168,47.125,3882686819,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Pitztal,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.116664999999998,10.783334000000000,"5000",,,,,,13.08.1902 00:00:00,"13","8","1902","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2847498",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88304",8830/4,"100",AT,QU,10.791679999999999,47.125000000000000,"8830","88","30","4",./0.png
10.87501,47.175,3882840450,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,?–tz,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.200000000000003,10.890000000000001,"500",,,,,,11.07.1904 00:00:00,"11","7","1904","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2855289",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88311",8831/1,"100",AT,QU,10.875010000000000,47.174999999999997,"8831","88","31","1",./0.png
10.37501,47.125,3885199380,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Pettneu,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.140000000000001,10.340000000000000,"500",,,,,,07.08.1907 00:00:00,"7","8","1907","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2848842",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88283",8828/3,"100",AT,QU,10.375010000000000,47.125000000000000,"8828","88","28","3",./0.png
10.37501,47.125,3882984461,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Pettneu,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.140000000000001,10.340000000000000,"500",,,,,,11.07.1908 00:00:00,"11","7","1908","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2848843",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88283",8828/3,"100",AT,QU,10.375010000000000,47.125000000000000,"8828","88","28","3",./0.png
11.29168,47.075,3882954682,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius apollo,,SPECIES,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",,AT,Gasteig im Stubai,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.070000000000000,11.260000000000000,"500",,,,,,24.07.1908 00:00:00,"24","7","1908","1","0","0","0","0","1","1938810","1938810",OCCURRENCE,LI,ZOBODAT,"2792926",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89332",8933/2,"100",AT,QU,11.291679999999999,47.075000000000003,"8933","89","33","2",./0.png
