X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
12.70835,47.475,3885124213,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,R?¶mersattel b. Hochfilzen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.490000000000002,12.670000000000000,"500",,,,,,##############################################################################################################################################################################################################################################################,"20","7","1896","1","0","0","0","0","1","1938520","1938520",MATERIAL_CITATION,LI,ZOBODAT,"2748960",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85421",8542/1,"100",A,QU,12.708349999999999,47.475000000000001,"8542","85","42","1",./0.png
12.62501,47.475,3882840517,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,Hochfilzen,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.469999999999999,12.609999999999999,"500",,,,,,##############################################################################################################################################################################################################################################################,"20","7","1896","1","0","0","0","0","1","1938520","1938520",MATERIAL_CITATION,LI,ZOBODAT,"2856693",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85412",8541/2,"100",A,QU,12.625010000000000,47.475000000000001,"8541","85","41","2",./0.png
12.12501,47.375,3885263306,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,Kelchsau,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.390000000000001,12.130000000000001,"500",,,,,,12.06.1913 00:00:00,"12","6","1913","1","0","0","0","0","1","1938520","1938520",MATERIAL_CITATION,LI,ZOBODAT,"2801595",,,,CC0_1_0,,,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
12.12501,47.375,296513348,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)",Parnassius mnemosyne (Linnaeus 1758),"Parnassius mnemosyne (Linnaeus, 1758)",,AT,Kelchsau/ Hopfgarten SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.391333000000003,12.135889000000001,,,"790",,,,11.06.1913 00:00:00,"11","6","1913","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,7E51F9F9-BDD8-490E-B625-605481104783,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:10,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
12.12501,47.375,296513347,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)",Parnassius mnemosyne (Linnaeus 1758),"Parnassius mnemosyne (Linnaeus, 1758)",,AT,Kelchsau/ Hopfgarten SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.391333000000003,12.135889000000001,,,"790",,,,12.06.1913 00:00:00,"12","6","1913","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,66ABC9C5-2DFA-4CD9-AC51-F642C616CA1F,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:10,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
12.12501,47.375,3885338457,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,Kelchsau,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.390000000000001,12.130000000000001,"500",,,,,,12.06.1914 00:00:00,"12","6","1914","1","0","0","0","0","1","1938520","1938520",MATERIAL_CITATION,LI,ZOBODAT,"2801598",,,,CC0_1_0,,,,,13.01.2023 09:21:08,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
12.04168,47.475,3882682370,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,06.06.1915 00:00:00,"6","6","1915","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,LI,ZOBODAT,"2848966",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
12.12501,47.375,296513346,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)",Parnassius mnemosyne (Linnaeus 1758),"Parnassius mnemosyne (Linnaeus, 1758)",,AT,Kelchsau/ Hopfgarten SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.391333000000003,12.135889000000001,,,"790",,,,06.06.1927 00:00:00,"6","6","1927","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,1199549E-D6A3-41A3-8BBF-58F7A06D0106,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:10,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
12.04168,47.475,3885325781,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,16.07.1929 00:00:00,"16","7","1929","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,LI,ZOBODAT,"2849047",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
11.37501,47.275,447284481,816e9038-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,Innsbruck,,PRESENT,,fe9d23a5-5514-4d6e-b05b-d115425cd159,47.266700000000000,11.400000000000000,"5000",,,,,,10.07.1933 00:00:00,"10","7","1933","1","0","0","0","0","1","1938520","1938520",PRESERVED_SPECIMEN,NMOK,Lepidoptera coll. NMOK,"162232",,,,CC_BY_4_0,,,,,13.01.2023 09:23:28,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"87341",8734/1,"100",AT,QU,11.375010000000000,47.274999999999999,"8734","87","34","1",./0.png
12.04168,47.475,3885352153,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,27.06.1933 00:00:00,"27","6","1933","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,LI,ZOBODAT,"2849144",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:17,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
12.04168,47.475,3885175507,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius mnemosyne,,SPECIES,"Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)","Parnassius mnemosyne (Linnaeus, 1758)",,AT,W?¶rgl,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.479999999999997,12.060000000000000,"500",,,,,,04.06.1933 00:00:00,"4","6","1933","1","0","0","0","0","1","1938520","1938520",OCCURRENCE,LI,ZOBODAT,"2849131",,Burmann Karl,,CC0_1_0,,Burmann Karl,,,13.01.2023 09:21:13,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85381",8538/1,"100",AT,QU,12.041679999999999,47.475000000000001,"8538","85","38","1",./0.png
