X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
11.37501,47.125,3885396388,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Fulpmes S Innsbruck,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.149999999999999,11.340000000000000,"500",,,,,,##############################################################################################################################################################################################################################################################,"20","5","1846","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2864155",,,,CC0_1_0,,,,,13.01.2023 09:21:15,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88343",8834/3,"100",AT,QU,11.375010000000000,47.125000000000000,"8834","88","34","3",./0.png
11.37501,47.125,3885153178,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Stubaital,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.149999999999999,11.416667000000000,"5000",,,,,,##############################################################################################################################################################################################################################################################,"17","7","1881","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2789820",,,,CC0_1_0,,,,,13.01.2023 09:21:14,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88343",8834/3,"100",AT,QU,11.375010000000000,47.125000000000000,"8834","88","34","3",./0.png
11.37501,47.125,3882879042,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Stubaital,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.149999999999999,11.416667000000000,"5000",,,,,,##############################################################################################################################################################################################################################################################,"10","8","1887","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2789822",,,,CC0_1_0,,,,,13.01.2023 09:20:02,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88343",8834/3,"100",AT,QU,11.375010000000000,47.125000000000000,"8834","88","34","3",./0.png
11.37501,47.125,3882753290,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Stubaital,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.149999999999999,11.416667000000000,"5000",,,,,,##############################################################################################################################################################################################################################################################,"26","7","1891","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2789824",,,,CC0_1_0,,,,,13.01.2023 09:20:01,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"88343",8834/3,"100",AT,QU,11.375010000000000,47.125000000000000,"8834","88","34","3",./0.png
10.20834,46.975,3885309299,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Galt??r,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.960000000000001,10.180000000000000,"500",,,,,,##############################################################################################################################################################################################################################################################,,"8","1895","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2792183",,,,CC0_1_0,,,,,13.01.2023 09:21:16,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90271",9027/1,"100",AT,QU,10.208340000000000,46.975000000000001,"9027","90","27","1",./0.png
12.54168,47.025,3885210489,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Matrei in Osttirol,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.533334000000000,"500",,,,,,02.01.1900 00:00:00,,,"1900","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2831159",,,,CC0_1_0,,,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89413",8941/3,"100",AT,QU,12.541679999999999,47.024999999999999,"8941","89","41","3",./0.png
12.54168,46.975,3885210489,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Matrei in Osttirol,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.000000000000000,12.533334000000000,"500",,,,,,02.01.1900 00:00:00,,,"1900","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2831159",,,,CC0_1_0,,,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90411",9041/1,"100",AT,QU,12.541679999999999,46.975000000000001,"9041","90","41","1",./0.png
11.45835,47.075,3885169924,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Steinach/Brenner,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,47.090000000000003,11.460000000000001,"500",,,,,,08.08.1906 00:00:00,"8","8","1906","1","0","0","0","0","1","1938955","1938955",OCCURRENCE,LI,ZOBODAT,"2775323",,,,CC0_1_0,,,,,13.01.2023 09:21:12,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89342",8934/2,"100",AT,QU,11.458349999999999,47.075000000000003,"8934","89","34","2",./0.png
11.04168,46.925,3884869155,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Zwieselstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.930000000000000,11.020000000000000,"500",,,,,,04.09.1909 00:00:00,"4","9","1909","1","0","0","0","0","1","1938955","1938955",MATERIAL_CITATION,LI,ZOBODAT,"2781071",,,,CC0_1_0,,,,,13.01.2023 09:21:08,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90323",9032/3,"100",AT,QU,11.041679999999999,46.924999999999997,"9032","90","32","3",./0.png
11.04168,46.925,3884791933,857bce66-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius phoebus,,SPECIES,"Parnassius phoebus (Fabricius, 1793)","Parnassius phoebus Fabricius, 1793","Parnassius phoebus (Fabricius, 1793)",,AT,Zwieselstein,,PRESENT,,2d6e0e40-2aee-11d8-aa2d-b8a03c50a862,46.930000000000000,11.020000000000000,"500",,,,,,04.09.1909 00:00:00,"4","9","1909","1","0","0","0","0","1","1938955","1938955",MATERIAL_CITATION,LI,ZOBODAT,"2781070",,,,CC0_1_0,,,,,13.01.2023 09:21:07,,CONTINENT_DERIVED_FROM_COORDINATES,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90323",9032/3,"100",AT,QU,11.041679999999999,46.924999999999997,"9032","90","32","3",./0.png
