X,Y,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,Name_BO2,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,1,2,3,4,5,6,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,FID,BL_KZ,BL,ST_KZ,ST,FL,FL_KM,STAND,SHAPE_Leng,SHAPE_Area,RASTERF,QUADR,INSIDE,BLAND,FELD_IN_A,X_COORD,Y_COORD,GFELD,GFELD_Y,GFELD_X,QU,icon_url
11.20834,47.075,296513110,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Franz Senn H??tte,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.085971999999998,11.169833000000001,,,"2149",,,,##############################################################################################################################################################################################################################################################,"10","8","1887","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,5707C0C6-301E-46E7-989E-9EC8B1C0475D,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:57:10,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
11.20834,47.075,296513106,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Alpein Alpe/ Franz Senn H??tte NE,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.090361000000001,11.177667000000000,,,"2100",,,,##############################################################################################################################################################################################################################################################,"10","8","1887","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,9E9A4F99-6ACB-48C5-8F5C-2671E6BF2037,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
11.20834,47.075,296513114,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Franz Senn H??tte,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.085971999999998,11.169833000000001,,,"2149",,,,##############################################################################################################################################################################################################################################################,"26","7","1891","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,3C02B54A-B3B1-4BA8-89F6-D2678F0F9975,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
11.20834,47.075,296513113,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Franz Senn H??tte,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.085971999999998,11.169833000000001,,,"2149",,,,##############################################################################################################################################################################################################################################################,"19","7","1891","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,4910DC12-616C-4754-8C25-D8A17A721C20,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:57:10,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
11.20834,47.075,296513109,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Franz Senn H??tte,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.085971999999998,11.169833000000001,,,"2149",,,,##############################################################################################################################################################################################################################################################,"17","7","1891","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,BACCC4A2-2062-4306-840B-8F03947DAA3E,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
11.20834,47.075,296513108,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Franz Senn H??tte,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.085971999999998,11.169833000000001,,,"2149",,,,##############################################################################################################################################################################################################################################################,"1","7","1891","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,94E8C19C-A0F5-4611-AC83-A99FD53F84C2,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"89331",8933/1,"100",AT,QU,11.208340000000000,47.075000000000003,"8933","89","33","1",./0.png
10.20834,46.975,296513120,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Galt??r,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,46.969444000000003,10.187528000000000,,,"1584",,,,01.08.1905 00:00:00,"1","8","1905","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,17206D19-93E1-43E3-B588-351DB87D71B2,,,,CC_BY_4_0,,Schuler J.,,,11.01.2023 07:57:09,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"90271",9027/1,"100",AT,QU,10.208340000000000,46.975000000000001,"9027","90","27","1",./0.png
12.12501,47.475,296513154,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Hopfgarten im Brixental,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.450194000000003,12.160417000000001,,,"622",,,,11.06.1913 00:00:00,"11","6","1913","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,045891F1-8AE5-4E87-A346-C9C3C7983919,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"85382",8538/2,"100",AT,QU,12.125010000000000,47.475000000000001,"8538","85","38","2",./0.png
12.12501,47.375,296513151,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Kelchsau/ Hopfgarten SW,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.391333000000003,12.135889000000001,,,"790",,,,11.06.1913 00:00:00,"11","6","1913","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,D1ECB480-A280-4316-8E82-74EE00F6A425,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:56:37,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86382",8638/2,"100",AT,QU,12.125010000000000,47.375000000000000,"8638","86","38","2",./0.png
11.87501,47.325,296513139,7b904404-f762-11e1-a439-00145eb45e9a,,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Parnassius,Parnassius corybas,sacerdos,SUBSPECIES,"Parnassius phoebus sacerdos Stichel, 1906",Parnassius phoebus sacerdos Stichel 1906,"Parnassius phoebus sacerdos Stichel, 1906",,AT,Zillertal,,PRESENT,,f9912a00-84a9-11d9-8952-b8a03c50a862,47.312083000000001,11.872332999999999,,,"560",,,,28.07.1915 00:00:00,"28","7","1915","1","0","0","0","0","1","4535870","4690713",OCCURRENCE,TLMF,Tiroler Landesmuseum Ferdinandeum,F4A6AABD-903E-4689-9EDD-80BEEEC8F3D4,,,,CC_BY_4_0,,Deutsch A.,,,11.01.2023 07:57:09,,COORDINATE_ROUNDED,"7","7",Tirol,"1",Österreich,12648339352,12648.339350000000195,2017/10/01,11.922909080000000,1.501331261000000,"86373",8637/3,"100",AT,QU,11.875010000000000,47.325000000000003,"8637","86","37","3",./0.png
